Row ID,Stamp,Date             Time,Humidity(%)
999,1497825202, 18/6/2017 22:33:22,61.5
1999,1497825203, 18/6/2017 22:33:23,61.5
2999,1497825204, 18/6/2017 22:33:24,61.5
3999,1497825205, 18/6/2017 22:33:25,61.5
4999,1497825206, 18/6/2017 22:33:26,61.4
5999,1497825207, 18/6/2017 22:33:27,61.4
6999,1497825208, 18/6/2017 22:33:28,61.4
8000,1497825209, 18/6/2017 22:33:29,61.4
8999,1497825210, 18/6/2017 22:33:30,61.4
9999,1497825211, 18/6/2017 22:33:31,61.4
10998,1497825212, 18/6/2017 22:33:32,61.4
11999,1497825213, 18/6/2017 22:33:33,61.4
12999,1497825214, 18/6/2017 22:33:34,61.4
14000,1497825215, 18/6/2017 22:33:35,61.4
14999,1497825216, 18/6/2017 22:33:36,61.4
16000,1497825217, 18/6/2017 22:33:37,61.4
16999,1497825218, 18/6/2017 22:33:38,61.5
17999,1497825219, 18/6/2017 22:33:39,61.5
19000,1497825220, 18/6/2017 22:33:40,61.5
19999,1497825221, 18/6/2017 22:33:41,61.5
20999,1497825222, 18/6/2017 22:33:42,61.6
21999,1497825223, 18/6/2017 22:33:43,61.6
23000,1497825224, 18/6/2017 22:33:44,61.6
23999,1497825225, 18/6/2017 22:33:45,61.6
24998,1497825226, 18/6/2017 22:33:46,61.6
25999,1497825227, 18/6/2017 22:33:47,61.6
26999,1497825228, 18/6/2017 22:33:48,61.8
27999,1497825229, 18/6/2017 22:33:49,61.8
28999,1497825230, 18/6/2017 22:33:50,61.7
29999,1497825231, 18/6/2017 22:33:51,61.7
30999,1497825232, 18/6/2017 22:33:52,62.6
32000,1497825233, 18/6/2017 22:33:53,62.6
32999,1497825234, 18/6/2017 22:33:54,63.5
33999,1497825235, 18/6/2017 22:33:55,63.5
35000,1497825236, 18/6/2017 22:33:56,63.5
35999,1497825237, 18/6/2017 22:33:57,62.9
36999,1497825238, 18/6/2017 22:33:58,62.9
37999,1497825239, 18/6/2017 22:33:59,62.4
38999,1497825240, 18/6/2017 22:34:0,62.4
39999,1497825241, 18/6/2017 22:34:1,62.3
41000,1497825242, 18/6/2017 22:34:2,62.3
42000,1497825243, 18/6/2017 22:34:3,62.3
42999,1497825244, 18/6/2017 22:34:4,62.1
43999,1497825245, 18/6/2017 22:34:5,62.1
44999,1497825246, 18/6/2017 22:34:6,62
46000,1497825247, 18/6/2017 22:34:7,62
46999,1497825248, 18/6/2017 22:34:8,62
48000,1497825249, 18/6/2017 22:34:9,61.9
49000,1497825250, 18/6/2017 22:34:10,61.9
49998,1497825251, 18/6/2017 22:34:11,61.9
50999,1497825252, 18/6/2017 22:34:12,61.9
51999,1497825253, 18/6/2017 22:34:13,61.9
52999,1497825254, 18/6/2017 22:34:14,61.9
53999,1497825255, 18/6/2017 22:34:15,61.9
54999,1497825256, 18/6/2017 22:34:16,61.9
56000,1497825257, 18/6/2017 22:34:17,62
56998,1497825258, 18/6/2017 22:34:18,62
57999,1497825259, 18/6/2017 22:34:19,62
58999,1497825260, 18/6/2017 22:34:20,61.9
59999,1497825261, 18/6/2017 22:34:21,61.9
60999,1497825262, 18/6/2017 22:34:22,61.9
61999,1497825263, 18/6/2017 22:34:23,61.9
62999,1497825264, 18/6/2017 22:34:24,61.9
64000,1497825265, 18/6/2017 22:34:25,62
64999,1497825266, 18/6/2017 22:34:26,62
65999,1497825267, 18/6/2017 22:34:27,62
66999,1497825268, 18/6/2017 22:34:28,62
67998,1497825269, 18/6/2017 22:34:29,62.1
68999,1497825270, 18/6/2017 22:34:30,62.1
69998,1497825271, 18/6/2017 22:34:31,62.1
70999,1497825272, 18/6/2017 22:34:32,62.1
71999,1497825273, 18/6/2017 22:34:33,62.1
72998,1497825274, 18/6/2017 22:34:34,62.1
73999,1497825275, 18/6/2017 22:34:35,62.1
74999,1497825276, 18/6/2017 22:34:36,62.1
75999,1497825277, 18/6/2017 22:34:37,62.1
76999,1497825278, 18/6/2017 22:34:38,62.1
77999,1497825279, 18/6/2017 22:34:39,62.1
78999,1497825280, 18/6/2017 22:34:40,62.1
80000,1497825281, 18/6/2017 22:34:41,62.1
80999,1497825282, 18/6/2017 22:34:42,62.1
81998,1497825283, 18/6/2017 22:34:43,62.1
82999,1497825284, 18/6/2017 22:34:44,62.1
83998,1497825285, 18/6/2017 22:34:45,62.1
85000,1497825286, 18/6/2017 22:34:46,62.1
85998,1497825287, 18/6/2017 22:34:47,62.1
87000,1497825288, 18/6/2017 22:34:48,62.1
87999,1497825289, 18/6/2017 22:34:49,62.1
88999,1497825290, 18/6/2017 22:34:50,62.1
90000,1497825291, 18/6/2017 22:34:51,62.1
90999,1497825292, 18/6/2017 22:34:52,62.1
92000,1497825293, 18/6/2017 22:34:53,62.1
92999,1497825294, 18/6/2017 22:34:54,62.2
93999,1497825295, 18/6/2017 22:34:55,62.2
94999,1497825296, 18/6/2017 22:34:56,62.2
95998,1497825297, 18/6/2017 22:34:57,62.2
96999,1497825298, 18/6/2017 22:34:58,62.2
97999,1497825299, 18/6/2017 22:34:59,62.2
98999,1497825300, 18/6/2017 22:35:0,62.2
99999,1497825301, 18/6/2017 22:35:1,62.1
100999,1497825302, 18/6/2017 22:35:2,62.1
101999,1497825303, 18/6/2017 22:35:3,62.2
102999,1497825304, 18/6/2017 22:35:4,62.2
104000,1497825305, 18/6/2017 22:35:5,62.2
104998,1497825306, 18/6/2017 22:35:6,62.2
105999,1497825307, 18/6/2017 22:35:7,62.2
106998,1497825308, 18/6/2017 22:35:8,62.3
107999,1497825309, 18/6/2017 22:35:9,62.3
108999,1497825310, 18/6/2017 22:35:10,62.3
109999,1497825311, 18/6/2017 22:35:11,62.3
110999,1497825312, 18/6/2017 22:35:12,62.4
111998,1497825313, 18/6/2017 22:35:13,62.4
112999,1497825314, 18/6/2017 22:35:14,62.4
113999,1497825315, 18/6/2017 22:35:15,62.4
115000,1497825316, 18/6/2017 22:35:16,62.4
115999,1497825317, 18/6/2017 22:35:17,62.4
116999,1497825318, 18/6/2017 22:35:18,62.4
117999,1497825319, 18/6/2017 22:35:19,62.5
119000,1497825320, 18/6/2017 22:35:20,62.5
119999,1497825321, 18/6/2017 22:35:21,62.5
120998,1497825322, 18/6/2017 22:35:22,62.5
122000,1497825323, 18/6/2017 22:35:23,62.5
122999,1497825324, 18/6/2017 22:35:24,62.4
124000,1497825325, 18/6/2017 22:35:25,62.4
124998,1497825326, 18/6/2017 22:35:26,62.6
125999,1497825327, 18/6/2017 22:35:27,62.6
126999,1497825328, 18/6/2017 22:35:28,62.6
127998,1497825329, 18/6/2017 22:35:29,62.6
129000,1497825330, 18/6/2017 22:35:30,62.7
129999,1497825331, 18/6/2017 22:35:31,62.7
131000,1497825332, 18/6/2017 22:35:32,62.6
132000,1497825333, 18/6/2017 22:35:33,62.6
132999,1497825334, 18/6/2017 22:35:34,62.6
133999,1497825335, 18/6/2017 22:35:35,62.7
134999,1497825336, 18/6/2017 22:35:36,62.7
135999,1497825337, 18/6/2017 22:35:37,62.8
136998,1497825338, 18/6/2017 22:35:38,62.8
138000,1497825339, 18/6/2017 22:35:39,62.8
138999,1497825340, 18/6/2017 22:35:40,62.8
139999,1497825341, 18/6/2017 22:35:41,62.8
140999,1497825342, 18/6/2017 22:35:42,62.8
142000,1497825343, 18/6/2017 22:35:43,62.8
142999,1497825344, 18/6/2017 22:35:44,62.8
143998,1497825345, 18/6/2017 22:35:45,62.8
144999,1497825346, 18/6/2017 22:35:46,62.8
145999,1497825347, 18/6/2017 22:35:47,62.8
147000,1497825348, 18/6/2017 22:35:48,62.9
148000,1497825349, 18/6/2017 22:35:49,62.9
148999,1497825350, 18/6/2017 22:35:50,62.9
149999,1497825351, 18/6/2017 22:35:51,62.9
150999,1497825352, 18/6/2017 22:35:52,62.9
152000,1497825353, 18/6/2017 22:35:53,62.9
152998,1497825354, 18/6/2017 22:35:54,62.9
153999,1497825355, 18/6/2017 22:35:55,62.9
154999,1497825356, 18/6/2017 22:35:56,62.9
156000,1497825357, 18/6/2017 22:35:57,62.9
156998,1497825358, 18/6/2017 22:35:58,62.9
158000,1497825359, 18/6/2017 22:35:59,63
158999,1497825360, 18/6/2017 22:36:0,63
159998,1497825361, 18/6/2017 22:36:1,63.1
160999,1497825362, 18/6/2017 22:36:2,63.1
161999,1497825363, 18/6/2017 22:36:3,63.1
162999,1497825364, 18/6/2017 22:36:4,63.1
163998,1497825365, 18/6/2017 22:36:5,63.1
165000,1497825366, 18/6/2017 22:36:6,63.2
165999,1497825367, 18/6/2017 22:36:7,63.2
166999,1497825368, 18/6/2017 22:36:8,63.2
167999,1497825369, 18/6/2017 22:36:9,63.2
168999,1497825370, 18/6/2017 22:36:10,63.2
169999,1497825371, 18/6/2017 22:36:11,63.2
170999,1497825372, 18/6/2017 22:36:12,63.2
171999,1497825373, 18/6/2017 22:36:13,63.2
172998,1497825374, 18/6/2017 22:36:14,63.2
174000,1497825375, 18/6/2017 22:36:15,63.2
174999,1497825376, 18/6/2017 22:36:16,63.2
175998,1497825377, 18/6/2017 22:36:17,63.2
176999,1497825378, 18/6/2017 22:36:18,63.2
177999,1497825379, 18/6/2017 22:36:19,63.2
179000,1497825380, 18/6/2017 22:36:20,63.2
179998,1497825381, 18/6/2017 22:36:21,63.2
